Tanggal,Kategori,Deskripsi,Jumlah,Harga Satuan,Total
2024-01-07,Gaji Karyawan,Gaji Bulanan,10,5000000,50000000
2024-01-14,Listrik,Biaya Listrik,1,3000000,3000000
2024-01-21,Sewa Gedung,Sewa Bulanan,1,10000000,10000000
2024-01-28,Transportasi,Biaya Transportasi,1,2500000,2500000
2024-02-04,Gaji Karyawan,Gaji Bulanan,10,5000000,50000000
2024-02-11,Listrik,Biaya Listrik,1,3000000,3000000
2024-02-18,Sewa Gedung,Sewa Bulanan,1,10000000,10000000
2024-02-25,Transportasi,Biaya Transportasi,1,2500000,2500000
2024-03-07,Gaji Karyawan,Gaji Bulanan,10,5000000,50000000
2024-03-14,Listrik,Biaya Listrik,1,3000000,3000000
