Tanggal,No. Faktur,Kode Pelanggan,Nama Pelanggan,Produk,Jumlah,Harga Satuan,Total
2024-01-03,INV001,P001,PT Alpha,Produk A,50,200000,10000000
2024-01-05,INV002,P002,PT Beta,Produk B,30,150000,4500000
2024-01-10,INV003,P003,PT Gamma,Produk C,40,100000,4000000
2024-01-15,INV004,P004,PT Delta,Produk D,25,250000,6250000
2024-01-20,INV005,P005,PT Epsilon,Produk A,60,200000,12000000
2024-02-02,INV006,P006,PT Zeta,Produk B,35,150000,5250000
2024-02-10,INV007,P007,PT Eta,Produk C,45,100000,4500000
2024-02-18,INV008,P008,PT Theta,Produk D,30,250000,7500000
2024-03-05,INV009,P009,PT Iota,Produk A,55,200000,11000000
2024-03-10,INV010,P010,PT Kappa,Produk B,25,150000,3750000
